rank,name,mbid,listeners,playcount,url,image_url
1,The Weeknd,,5059750,1034601933,https://www.last.fm/music/The+Weeknd,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
2,Radiohead,,7949309,1280734454,https://www.last.fm/music/Radiohead,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
3,Taylor Swift,,5690566,3448213444,https://www.last.fm/music/Taylor+Swift,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
4,"Tyler, The Creator",,4101690,974007701,"https://www.last.fm/music/Tyler,+The+Creator",https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
5,Kendrick Lamar,,4861746,963966204,https://www.last.fm/music/Kendrick+Lamar,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
6,Ariana Grande,,4208834,1005485791,https://www.last.fm/music/Ariana+Grande,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
7,Lady Gaga,,7445050,966584844,https://www.last.fm/music/Lady+Gaga,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
8,Kanye West,,7705049,1429293450,https://www.last.fm/music/Kanye+West,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
9,Sabrina Carpenter,,2993096,552078772,https://www.last.fm/music/Sabrina+Carpenter,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
10,Charli xcx,,3554083,646339157,https://www.last.fm/music/Charli+xcx,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
11,Drake,,6488510,1056485762,https://www.last.fm/music/Drake,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
